[pagerank] reading airports from data/airports.txt
[pagerank] read 5740 aiports with IATA code
[pagerank] reading routes from data/routes.txt
[pagerank] read 68292 routes with IATA codes
[pagerank] computing pagerank
[pagerank] printing pagerank results: (pagerank, airport name)
(0.0008491220010185532 : Yuzhny, Uzbekistan)
(0.0008483086643181234 : Kansas City Intl, United States)
(0.0008394978918233476 : Porto, Portugal)
(0.0008393215435551328 : Luqa, Malta)
(0.000839053946045354 : Congonhas, Brazil)
(0.0008244821480878477 : Nashville Intl, United States)
(0.0008203386234631874 : Mariscal Sucre Intl, Ecuador)
(0.000814270701707154 : Wuxu, China)
(0.0008142563500197426 : Almaty, Kazakhstan)
(0.000813263753958619 : Nottingham East Midlands, United Kingdom)
(0.0008125898913942357 : Chubu Centrair Intl, Japan)
(0.0008124301372176391 : Faro, Portugal)
(0.0008109047282664215 : Lanzarote, Spain)
(0.0008070353405416345 : Murtala Muhammed, Nigeria)
(0.0008044614700454567 : Orlando Sanford Intl, United States)
(0.0008041351550193987 : Christchurch Intl, New Zealand)
(0.000795282744146564 : Wusu, China)
(0.0007923136129774128 : William P Hobby, United States)
(0.0007877761438779005 : Carthage, Tunisia)
(0.0007869565617568618 : Baita Airport, China)
(0.000781928094224157 : Flesland, Norway)
(0.0007801734009318336 : Changle, China)
(0.0007764000102674193 : Newcastle, United Kingdom)
(0.0007727688101445294 : Winnipeg Intl, Canada)
(0.0007722164618073704 : Larnaca, Cyprus)
(0.00076803526554478 : Ferihegy, Hungary)
(0.0007676104959170848 : Ketchikan Intl, United States)
(0.0007664768898000806 : Ioannis Kapodistrias Intl, Greece)
(0.0007615851501270225 : Marechal Rondon, Brazil)
(0.0007602419245674769 : Iqaluit, Canada)
(0.0007568964576223054 : King Fahd Intl, Saudi Arabia)
(0.0007543728866103243 : Zia Intl, Bangladesh)
(0.0007506218067884439 : Sochi, Russia)
(0.0007483845056150913 : Keflavik International Airport, Iceland)
(0.0007447082159889162 : Yangon Intl, Burma)
(0.0007438758094923645 : Catania Fontanarossa, Italy)
(0.0007421045780748964 : Metropolitan Oakland Intl, United States)
(0.0007347094586039765 : EuroAirport Basel-Mulhouse-Freiburg, Switzerland)
(0.0007343042699376372 : Kotoka Intl, Ghana)
(0.0007338011721817603 : Bahrain Intl, Bahrain)
(0.000726801857119989 : Makedonia, Greece)
(0.0007266480348612524 : Austin Bergstrom Intl, United States)
(0.0007203381371797685 : Val De Cans Intl, Brazil)
(0.0007165591756457721 : Rankin Inlet, Canada)
(0.0007153482355208018 : Gimhae Intl, South Korea)
(0.0007050925405113783 : Cape Town Intl, South Africa)
(0.0006953810202358204 : Ottawa Macdonald Cartier Intl, Canada)
(0.0006944599715089691 : General Mariano Escobedo Intl, Mexico)
(0.0006905168649512855 : Khartoum, Sudan)
(0.0006873187291941131 : Blagnac, France)
(0.0006834275741992198 : Raleigh Durham Intl, United States)
(0.0006825705113547221 : Pisa, Italy)
(0.0006824494111890092 : Kota Kinabalu Intl, Malaysia)
(0.000682007203542202 : Brussels South, Belgium)
(0.0006802063982257755 : Nnamdi Azikiwe Intl, Nigeria)
(0.000676271972013127 : Girona, Spain)
(0.0006731524695273557 : Memphis Intl, United States)
(0.0006720775670069199 : Shiraz Shahid Dastghaib Intl, Iran)
(0.0006709953000671784 : Menorca, Spain)
(0.000670174931362551 : El Salvador Intl, El Salvador)
(0.000669922447505624 : Polonia, Indonesia)
(0.0006690875093620966 : Aniak Airport, United States)
(0.0006680917461351826 : San Antonio Intl, United States)
(0.0006657523195943303 : Meilan, China)
(0.0006638405544192752 : Rafic Hariri Intl, Lebanon)
(0.0006619019368298823 : Kahului, United States)
(0.0006592283267434615 : Esenboga, Turkey)
(0.0006562722007899717 : Phoenix International, China)
(0.000652563607298714 : Changbei Intl, China)
(0.0006505332092688846 : Liangjiang, China)
(0.000650429666751434 : Sepinggan, Indonesia)
(0.0006493439425498564 : Guararapes Gilberto Freyre Intl, Brazil)
(0.0006492875841015072 : Ivato, Madagascar)
(0.0006489743510414105 : Jeju Intl, South Korea)
(0.0006468613796881889 : Astana Intl, Kazakhstan)
(0.0006460530298708485 : Valencia, Spain)
(0.0006459658538657952 : Jose Joaquin De Olmedo Intl, Ecuador)
(0.0006458564254569378 : Phuket Intl, Thailand)
(0.0006458047147460392 : El Alto Intl, Bolivia)
(0.000641316947138335 : Hannover, Germany)
(0.0006411676629219942 : Louis Armstrong New Orleans Intl, United States)
(0.0006393109638157237 : City, United Kingdom)
(0.0006385726626541321 : Bologna, Italy)
(0.0006365368206647591 : Split, Croatia)
(0.0006353855746532079 : Naha, Japan)
(0.0006329370664475216 : Leopold Sedar Senghor Intl, Senegal)
(0.0006328052432578121 : Tripoli Intl, Libya)
(0.0006288458931949514 : Schonefeld, Germany)
(0.0006287852294100622 : Norman Y Mineta San Jose Intl, United States)
(0.0006283666732488424 : Tanna island, Vanuatu)
(0.0006282316674822774 : Sept Iles, Canada)
(0.0006260605446293927 : Fuerteventura, Spain)
(0.0006240323582479814 : Beograd, Serbia)
(0.0006222898715783395 : Kos, Greece)
(0.0006203590320969646 : Santos Dumont, Brazil)
(0.0006183564620804403 : Nairobi Wilson, Kenya)
(0.0006181380527691501 : Mandalay Intl, Burma)
(0.0006174274444437047 : Cincinnati Northern Kentucky Intl, United States)
(0.0006168601098525266 : Capodichino, Italy)
(0.0006146692215058811 : Dubrovnik, Croatia)
(0.0006133975898082035 : Macau Intl, Macau)
(0.0006129246029045869 : Subang-Sultan Abdul Aziz Shah Intl, Malaysia)
(0.0006128190974532434 : Lanzhou Airport, China)
(0.0006112084146298013 : Leeds Bradford, United Kingdom)
(0.0006105883652419739 : Nantes Atlantique, France)
(0.0006098409440684194 : Chaklala, Pakistan)
(0.0006096252266583241 : Olbia Costa Smeralda, Italy)
(0.0006071263120171726 : Heydar Aliyev, Azerbaijan)
(0.0006059351461065886 : Quebec Jean Lesage Intl, Canada)
(0.000604387395910227 : General Mitchell Intl, United States)
(0.000601472362800973 : Miri, Malaysia)
(0.0005991664575806893 : Pittsburgh Intl, United States)
(0.0005983677286532191 : Osaka Intl, Japan)
(0.0005974514715190428 : Wabush, Canada)
(0.0005948154188058792 : Punta Cana Intl, Dominican Republic)
